text,label
i want assistance informing of a trouble with payment,18
see bill 12588,4
"i want to see my refund current status, help me",26
see current status of order order number,25
"i need to check the options for shipping, how do i do it?",12
i have to see how long it takes for my shipment to arrive,13
"i purchased some item, help canceling one of the orders",0
i want help seeing if there are any news on my reimbursement,26
i have got to call bloody customer assistance could uhelp me,8
how to shop a few of ur article,19
how to use the standard account,24
how can i tfack purchase order number,25
help checking in which cases can i request reimbursements,6
i'd like to lodge a damn consumer claim how could i do it,7
i try to inform of an issue with online payments,18
i do not know what i have to do to chat with somebody,9
problem with standard account terminations,11
need assistance to request a reimbursement of my money,16
i do not know what i have to dp to chat with an agent,9
how do i check the current status of order order number ?,25
can uhelp me submitting my feedback for a producvt,22
can you help me check what options for delivery you offer?,12
checking invoices from august,4
issue submitting the secondary delivery address,23
how do i use the account type profile,24
edit purchase order number,1
need help with cancelling purchase order number,0
need assistance to chat with a person,9
i want help to restore my user account access key,20
need help requesting reimbursements of my money,16
where can i check how soon cn i expect my shipment,13
want help to add an article to purchase order number,1
where can i receive a restitution of money?,16
"i have to see your money back guarantee, help me",6
can you help me to talk to a human agent?,9
i dont know what i have to do to get invoice 85632,15
where could i file a damn claim against your business?,7
wana correct order order number,1
i need support modifying the address,2
question about the cancellation of my standard account,11
help seeing in what situations can i request reimbursements,6
how to check at what time i can call customer service?,8
i have to see what payment methods you acecpt,5
i want assistance chatting with a person,9
i have made a mistake i wanna edit order order number,1
i dont know how i can ese how soon can i expect the order,13
help with adding a goddamn item to ordr order number,1
new account type acount,10
need help to check order order number current status,25
assistance contacting a person,9
getting invoices,15
how soon can i expect my delivery?,13
how could i file a complaont?,7
how to see the methods for delivery,12
help to speak to customer assistance,8
can i check at what time i can reach customer support?,8
need help to cancel a standard account,11
how to inform of issues with a sign up?,21
i want help checking the allowed payment modalities,5
"i have got to track the restitution, how can i do it?",26
need support with my signup,21
i ened help to recover the access key of my user profile,20
where can i check your reimbursement policy?,6
i need assistance checking the early exit charges,3
transfer to live agent,9
i awnt to lodge a customer complaint against your company,7
is it possible to check the early termination charges,3
checking status of order order number,25
i want to inform of registration issues,21
want help to file a customer claim,7
where can i sign up to ur newsletter,17
see what hours i can contact customer support,8
can ya help me to see the eta of order order number,25
where do i submit feedback about your company?,22
i need assistance to give a quick look at the invoice 37777,4
i try to check what hours i can call customer service,8
can i report a problem with a signup?,21
show me what shipment methods i have,12
could you help me obtain rebates of money?,16
"i am not happy with your work, help to file a reclamation",7
i want help to see the cancellation charges,3
i have got to subscrie to the company newsletter,17
i need help to talk to a person,9
i expect an rebate of currency symbol refund amount,26
support setting a shipping dadress up,23
lodge consumer reclamation,7
i am trying to get my invoice from person name,15
how could i use the account type profile?,24
open standard cacount for wife,10
help me check the early termination penalty,3
i'm waiting for a rebate of refund amount dollars,26
i have got to check what shipment options are available,12
i need help to speak to a bloody human agent,9
i want assistance to list the allowed payment modalitiess,5
i want help to see when will my package arrive,13
"i forgot the pin of my profile, how could i reset it?",20
help me to restore the password of my user account,20
i do not know what to do to speak with a human agent,9
assistance seeing in what cases can i request reimbursements,6
"i have to see the eta of the order order number , help me",25
i need assistance talking with a perrson,9
rebate currency symbol refund amount,16
notifying of trouble with payment,18
i need help buying some of your article,19
assistance checking the early exit charges,3
i want assistance seeing the cancellation charge,3
could you help me report an error with signup?,21
could you help me changing to the account type account?,24
helpme speaking with somebody,9
correct information on pro account,14
assistance to create a standard account,10
i want help to download the bill from person name,15
i paidx currency symbol refund amount for an article want help to obtain a refund,16
"i can't pay, i need help to inform of problems with payment",18
how to subscribe to your newsletter?,17
is it possible to crewate a gold account,10
what do i have to do to receive a rebate of money?,16
how to create a platinum account for my fiance?,10
help me seeing ur refund policy,6
i dont know what i need to do to download invoice 12588,15
how to update the shipping address?,2
want assistance to see how soon can i expectr my shipment,13
i do not know how i can downloaad the bill 12588,15
assistance getting my bill 37777,15
i want assistance to file a fucking claim,7
i need assistance to check how long the shipping tazkes,13
want help to obtain a compensation of money,16
can you tell me more about a shipping address correction?,2
want assistgance to submit the secondary shipping address,23
how could i use the gold profile?,24
i have to check the payment methods,5
see in what situations can i request a reimbursement,6
how do i correct my delivery address?,2
ned to leave my feedback about a product can i get some help,22
what payment options do you accept?,5
i dont know how to cncel purchase order number,0
is it possible to order from delivery country ?,12
i need assistance to remove my standard account,11
get bills from person name,15
i do not know what i need to do to get invoice 37777,15
i cannot receive the fucking newsletter,17
where can i inform of a paymen error,18
help me see the status of order order number,25
i want assistance setting up my delivery address,23
i want assistance changing to the goddamn account category account,24
"i have got to use the account category profile, i need help",24
i don't know how i can order some of your product,19
i try to see the statuis of purchase order number,25
help to ask for refunds of money,16
i try to see in which cases can i request to be refunded,6
how to see order order number status,25
help me check how soon can i expect my delivery,13
help me restore the key of my user,20
how can i notify of an issue with registrations,21
od ya deliver to delivery country,12
customer service e mail,8
"i need to see your goddamn refund policy, how do i do it?",6
"i want to check the termination penalty, help me",3
"i no longer use my standard account, could i close it?",11
what do i have to do to file a consumer claim,7
i need help to se how long the bloody reimbursements take,6
where do i inform of payment errors?,18
"i want to order a few of your product, can i get some help?",19
i'm trying tochange order order number,1
can i track the reimbursement?,26
want help seeing the accepted payment methods,5
in what situations can i ask for a refund,6
help me notify of issues with online payments,18
can you help me see the accepted payment options?,5
